feature,importance
dstd_y_L_shank_3,-0.0002408477842003598
dstd_z_L_shank_3,-0.00014450867052021588
dstd_x_L_shank_4,0.0
dstd_y_L_shank_4,-9.633911368014391e-05
dstd_z_L_shank_4,0.0
dstd_x_L_thigh_1,-4.8169556840060856e-05
dstd_y_L_thigh_1,-0.00043352601156066984
dstd_z_L_thigh_1,-0.00019267822736028782
dstd_x_L_thigh_2,0.0
dstd_y_L_thigh_2,-0.0002408477842003598
dstd_z_L_thigh_2,0.0001445086705202492
dstd_x_L_thigh_3,0.0002408477842004153
dstd_y_L_thigh_3,4.816955684008306e-05
dstd_z_L_thigh_3,1.1102230246251566e-17
dstd_x_L_thigh_4,-0.00014450867052020477
dstd_y_L_thigh_4,-0.0004816955684007418
dstd_z_L_thigh_4,-9.633911368014391e-05
dstd_x_R_foot_1,0.0
dstd_y_R_foot_1,-0.00019267822736027674
dstd_z_R_foot_1,9.633911368019942e-05
dstd_x_R_foot_2,-0.00033718689788050373
dstd_y_R_foot_2,-0.00028901734104043176
dstd_z_R_foot_2,0.0001445086705202492
dstd_x_R_foot_3,-0.00019267822736028782
dstd_y_R_foot_3,-0.000385356454720609
dstd_z_R_foot_3,0.0002408477842004153
dstd_x_R_foot_4,-0.0005298651252408249
dstd_y_R_foot_4,-4.8169556840071956e-05
dstd_z_R_foot_4,-0.0003371868978805148
dstd_x_R_shank_1,0.0
dstd_y_R_shank_1,0.0
dstd_z_R_shank_1,-4.8169556840071956e-05
dstd_x_R_shank_2,-0.00019267822736028782
dstd_y_R_shank_2,-0.00014450867052021588
dstd_z_R_shank_2,-0.0004816955684007196
dstd_x_R_shank_3,2.2204460492503132e-17
dstd_y_R_shank_3,-0.00043352601156068096
dstd_z_R_shank_3,-0.0002408477842003598
dstd_x_R_shank_4,-0.00019267822736028782
dstd_y_R_shank_4,-0.0005780346820809079
dstd_z_R_shank_4,-9.633911368014391e-05
dstd_x_R_thigh_1,-0.0006743737957610518
dstd_y_R_thigh_1,-0.0004816955684007196
